service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,service_name,case_record_type,date_updated,status,lat,lng,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description,urgent-yes_no
2475217,,,2019-01-01T07:12:00,9,Container Left Out,ESD Complaint/Report,2019-01-10T00:00:00,Closed,32.7998033,-117.1066661,7,47,Tierrasanta,,Mobile,,Containers left on street all week long.,
2475218,2458311,,2019-01-01T07:22:00,51,Pothole,TSW,2019-02-22T00:00:00,Closed,32.74842211,-117.1557037,3,42,Uptown,,Mobile,,Large potholes,
2475219,,40300092900,2019-01-01T07:22:00,1,Pothole,TSW,2019-01-02T00:00:00,Closed,32.74896802,-117.1563392,3,42,Uptown,,Mobile,,Large 3' X 3' section of street damaged and sinking,
2475220,,40300092901,2019-01-01T07:30:00,2,Sidewalk Repair Issue,TSW,2019-01-03T00:00:00,Closed,32.8404499,-117.1772304,6,6,Clairemont Mesa,,Web,,"Sunken sidewalk, not even with sidewalk level. Has been repaired before using asphalt. Owner has plans to replace grass strip at street which this borders with concrete. But first sidewalk needs to be raised to provide right pitch. Currently water collects and puddles when rain, etc. Most of sidewalk needing attention is not in driveway path, at least the problem area is not. You can see that the water meter is also near. Pls see enclosed photo and contact me. thank you, Bob Shultz",
2475221,,,2019-01-01T07:48:00,2,72 Hour Violation,Parking,2019-01-03T00:00:00,Closed,32.69818,-117.08613,4,11,Encanto Neighborhoods,,Web,,car been parked outside my house longer than 3 days.  The people have over 7 cars trucks and vans i've spoke with them in the past about leaving there cars parked in front of my house for days but they continue to do it.  I don't know what else to do,
2475222,,,2019-01-01T08:07:00,9,Shopping Cart,ESD Complaint/Report,2019-01-10T00:00:00,Closed,32.69509,-117.098315,9,37,Southeastern San Diego,,Mobile,,Shopping carts,
2475224,2473822,,2019-01-01T08:23:00,1,72 Hour Violation,Parking,2019-01-02T00:00:00,Closed,32.74998,-117.24158,2,23,Ocean Beach,,Web,,This is a tundra truck has been parked in front of my house since Dec. 26th. It has no plates.  Parking is tough on our street without someone leaving their car for days at a time,
2475225,,,2019-01-01T08:27:00,51,Graffiti Removal,TSW,2019-02-21T00:00:00,Closed,32.74950808,-117.1179215,9,56,Mid-City:City Heights,,Mobile,,,
2475226,,40300092875,2019-01-01T08:31:00,1,Pothole,TSW,2019-01-02T00:00:00,Closed,32.8323642,-117.1866953,6,6,Clairemont Mesa,,Web,,"2 minor potholes are now forming, but the rest of the asphalt is breaking up and will soon be gone, just as it did in front of the adjacent home and was repaired as a large replacement area last year. Thank you kindly.",
2475227,,,2019-01-01T08:35:00,15,,Parking,2019-01-16T00:00:00,Closed,32.75345,-117.24755,2,23,Ocean Beach,,Mobile,,Parking for a week,
2475228,,,2019-01-01T08:37:00,9,72 Hour Violation,Parking,2019-01-10T00:00:00,Closed,32.74601,-117.24567,2,23,Ocean Beach,,Web,,Parked over a week,
2475229,,,2019-01-01T08:37:00,9,72 Hour Violation,Parking,2019-01-10T00:00:00,Closed,32.75345,-117.24755,2,23,Ocean Beach,,Mobile,,Parking for over a week,
2475230,,,2019-01-01T08:44:00,9,72 Hour Violation,Parking,2019-01-10T00:00:00,Closed,32.78183,-117.15669,7,35,Serra Mesa,,Mobile,,Car with expired tags abandoned in front of my house,
2475231,,,2019-01-01T08:50:00,1,Parking Zone Violation,Parking,2019-01-02T00:00:00,Closed,32.56332,-117.06729,8,33,San Ysidro,,Mobile,,Car parked next to hydrant,
2475232,,,2019-01-01T08:56:00,,Other,TSW,,Referred,32.746628,-117.103813,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Police CRO ? Mid-City at sdpdmidcity@pd.sandiego.gov,Loud music and drug use,
2475233,,,2019-01-01T08:57:00,8,72 Hour Violation,Parking,2019-01-09T00:00:00,Closed,32.71199,-117.1459,8,37,Southeastern San Diego,,Mobile,,"This car has been parked, and hasn't moved, from in front of our home for 8 days. I checked with neighbors and nobody knows whose vehicle it is.",
2475234,,40300092902,2019-01-01T09:00:00,23,Traffic Signal Timing Issue,TSW,2019-01-24T00:00:00,Closed,32.75736901,-117.0836308,9,58,Mid-City:Kensington-Talmadge,,Mobile,,The light for traffic heading north or south on 52nd is greater than 2 mins. Even when there no traffic moving on El Cajon Blvd.,
2475235,,,2019-01-01T09:08:00,106,Dead Animal,ESD Complaint/Report,2019-04-17T00:00:00,Closed,32.7652156,-117.203947,2,12,Linda Vista,,Mobile,,,
2475236,,,2019-01-01T09:09:00,16,Illegal Dumping,ESD Complaint/Report,2019-01-17T00:00:00,Closed,32.762614,-117.114335,3,59,Mid-City:Normal Heights,,Mobile,,"Misc. Discarded items dumped in stretch of alley including dishwasher, stove and twin mattres",
2475237,,,2019-01-01T09:10:00,178,Illegal Dumping,ESD Complaint/Report,2019-06-28T00:00:00,Closed,32.8328779,-117.2711475,1,10,La Jolla,,Mobile,,Abandoned campsite,
2475238,,,2019-01-01T09:11:00,10,72 Hour Violation,Parking,2019-01-11T00:00:00,Closed,32.84851,-117.2486,1,10,La Jolla,,Web,,The car has been parked in the same spot for many months.,
2475239,,40300092787,2019-01-01T09:18:00,183,Street Sweeping,TSW,2019-07-03T00:00:00,Closed,32.7078462,-117.1345776,8,37,Southeastern San Diego,,Phone,,,
2475240,,,2019-01-01T09:20:00,15,72 Hour Violation,Parking,2019-01-16T00:00:00,Closed,32.93361,-117.15639,6,15,Mira Mesa,,Web,,Utility van has been parked here for more than three weeks and no one has come to move it.  Owner is a company called Lara's Tile and Stone.  No one in the neighborhood is having their house worked on from what we know.  Spider webs have formed under the vehicle.  Van has company logo.,
2475241,,,2019-01-01T09:23:00,,Other,TSW,,Referred,32.72571667,-117.1594695,3,42,Uptown,,Mobile,This report has been referred to Police - Active Homeless Encampments at neighborhoodpolicing@pd.sandiego.gov,I thought living in the park was illegal. Used to be so pretty looking out my window but now this is what I see all day everyday. This is not good for tourism . They ride those Segways by this all the time and have to see this mess. They are all over the park . Too much attention on downtown homeless and not a lot up there . What can we do to clean up our city ? I'd like to help !,
2475242,,40300092854,2019-01-01T09:24:00,55,Traffic Sign - Maintain,TSW,2019-02-25T00:00:00,Closed,32.82343052,-117.2744061,1,10,La Jolla,,Mobile,,,
2475243,,,2019-01-01T09:26:00,0,Oversized Vehicle Complaints,Parking,2019-01-01T00:00:00,Closed,32.72272,-117.23251,2,30,Peninsula,,Mobile,,Single trailer parked in red at intersection,
2475244,,,2019-01-01T09:28:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.72305298,-117.1292554,3,8,Greater Golden Hill,,Mobile,,15 minute zone violation,
2475246,,,2019-01-01T09:38:00,58,72 Hour Violation,Parking,2019-02-28T00:00:00,Closed,32.94375,-117.08351,5,5,Sabre Springs,,Mobile,,Car stored on street,
2475247,,,2019-01-01T09:41:00,,Other,TSW,,Referred,32.82809448,-117.1392632,6,50,Kearny Mesa,CENTRUM NP,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,Several large holes at Centrum Dog Park - please send someone to fill the holes for human and animal safety,
2475248,,,2019-01-01T09:44:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.74404907,-117.1878154,2,14,Midway-Pacific Highway,,Mobile,,,
2475249,2466031,,2019-01-01T09:45:00,22,Graffiti Removal,TSW,2019-01-23T00:00:00,Closed,32.71309522,-117.0629747,4,11,Encanto Neighborhoods,,Mobile,,,
2475250,,,2019-01-01T09:50:00,6,Missed Collection,ESD Complaint/Report,2019-01-07T00:00:00,Closed,32.7200448,-117.1290949,3,8,Greater Golden Hill,,Mobile,,Trash can is constantly overflowing and rarely emptied.,
2475251,,40300092789,2019-01-01T09:53:00,105,Traffic Sign - Maintain,TSW,2019-04-16T00:00:00,Closed,32.73457782,-117.0917206,9,56,Mid-City:City Heights,,Mobile,,Pole is leaning,
2475252,,,2019-01-01T09:59:00,,Dead Animal,ESD Complaint/Report,,Referred,32.72181289,-117.1024929,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Caltrans San Diego at ct.public.information.d11@dot.ca.gov,Big dog with internal parts spread in the HOV lane. Poor thing,
2475253,,40300092892,2019-01-01T10:05:00,13,Evaluate Tree for Removal/Root Prune,TSW,2019-01-14T00:00:00,Closed,32.7605498,-117.0575947,9,57,Mid-City:Eastern Area,,Web,,"At least two of the palm trees in the parkway in front of my house are dropping huge, heavy chunks from the areas where they were trimmed some time ago.  Many more are hanging loose, threatening to fall.  I am afraid they will injure a passerby or do damage to someone's vehicle.",
2475255,,40300092788,2019-01-01T10:21:00,80,Traffic Sign - Maintain,TSW,2019-03-22T00:00:00,Closed,32.70840125,-117.1600941,3,4,Downtown,,Phone,,3 minute loading sign knocked over at 5th Av and K St at the northeast corner. Contact is Andrew at 619-846-1476,
2475256,,,2019-01-01T10:23:00,37,72 Hour Violation,Parking,2019-02-07T00:00:00,Closed,32.71209,-117.14573,8,37,Southeastern San Diego,,Mobile,,,
2475257,,,2019-01-01T10:25:00,,Other,TSW,,Referred,32.865793,-117.220091,1,99,University,DOYLE CP,Mobile,This report has been referred to Police - Active Homeless Encampments at neighborhoodpolicing@pd.sandiego.gov,Homeless encampment,
2475258,,40300092837,2019-01-01T10:33:00,266,Free Tree Planting Request,TSW,2019-09-24T00:00:00,Closed,32.711795,-117.15818,3,4,Downtown,,Mobile,,2 missing trees. Trip and fall hazard and stump hazard. The trees need replacing so as not to have the added hazard of being not beautiful in this area of 7th near Market St.,
2475259,,40300092838,2019-01-01T10:34:00,6,Sidewalk Repair Issue,TSW,2019-01-07T00:00:00,Closed,32.711878,-117.158219,3,4,Downtown,,Mobile,,Sidewalk needs replacing or something knees feet planted here. Very unattractive,
2475260,,,2019-01-01T10:36:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.737295,-117.2502367,2,23,Ocean Beach,,Mobile,,,
2475261,2475016,,2019-01-01T10:36:00,1,72 Hour Violation,Parking,2019-01-02T00:00:00,Closed,32.83191,-117.18765,6,6,Clairemont Mesa,,Web,,The car has been parked in same spot for well over 3 weeks. Is also covered.,
2475262,,,2019-01-01T10:36:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.737295,-117.2502367,2,23,Ocean Beach,,Mobile,,Someone left their car blocking my driveway all night,
2475263,,40300093154,2019-01-01T10:38:00,399,Trim Tree for Peds/Vehicle Clearance,TSW,,In Process,32.778802,-117.062783,9,38,College Area,,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,Trees and shrubs obstructing bicycle lane on west bike lane Alvarado rd. Photo is largest obstruction,
2475264,,,2019-01-01T10:38:00,2,Sidewalk Repair Issue,Traffic Engineering,2019-01-03T00:00:00,Closed,32.83530307,-117.2767423,1,10,La Jolla,,Mobile,This report has been referred to Field Engineering at engineering@sandiego.gov,Abandoned,
2475265,2468673,,2019-01-01T10:38:00,5,Pothole,TSW,2019-01-06T00:00:00,Closed,33.00275602,-117.0752323,5,31,Rancho Bernardo,,Web,,Large Pothole,
2475266,2471095,,2019-01-01T10:39:00,65,Container Left Out,ESD Complaint/Report,2019-03-07T00:00:00,Closed,32.745216,-117.105156,9,56,Mid-City:City Heights,,Mobile,,,
2475267,2474366,,2019-01-01T10:42:00,0,72 Hour Violation,Parking,2019-01-01T00:00:00,Closed,32.74385,-117.1275417,3,28,North Park,,Mobile,,"Parked for over 72 hours, stolen Discover & Ofo bikes in front of car, 2 men living in car, missing back license plates, trash everywhere",
2475269,,,2019-01-01T10:51:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.75028447,-117.1456944,3,28,North Park,,Mobile,,This vw parks in this red zone constantly. Please ticket,
2475270,,,2019-01-01T10:53:00,0,,Parking,2019-01-01T00:00:00,Closed,32.73717,-117.25018,2,23,Ocean Beach,,Web,,A car was left blocking my driveway.,
2475271,,,2019-01-01T10:55:00,21,72 Hour Violation,Parking,2019-01-22T00:00:00,Closed,32.74228,-117.10863,9,56,Mid-City:City Heights,,Web,,Over 72 hours parked,
2475272,,,2019-01-01T11:01:00,14,Container Left Out,ESD Complaint/Report,2019-01-15T00:00:00,Closed,32.768696,-117.0682144,9,38,College Area,,Mobile,,Student rentals NEVER return containers after collection. They leave them out on the curb all week long,
2475273,,,2019-01-01T11:01:00,14,Container Left Out,ESD Complaint/Report,2019-01-15T00:00:00,Closed,32.76950984,-117.0689462,9,38,College Area,,Mobile,,Student rentals NEVER return containers after collection. They leave them out on the curb all week long,
2475274,,,2019-01-01T11:02:00,21,Graffiti Removal,TSW,2019-01-22T00:00:00,Closed,32.76940551,-117.0689765,9,38,College Area,,Mobile,,Graffiti painted on the sidewalk at this address,
2475275,,40300092937,2019-01-01T11:03:00,38,Engineering - Curb Evaluation,Traffic Engineering,2019-02-08T00:00:00,Closed,32.824273,-117.09512,7,47,Tierrasanta,,Mobile,,Need handicap parking on street,
2475276,,40300092910,2019-01-01T11:04:00,1,Pothole,TSW,2019-01-02T00:00:00,Closed,32.76905296,-117.0690737,9,38,College Area,,Mobile,,College Ave was never properly fixed by contractors construction of building. Left the condition of the street in bad shape with cracks and potholes,
2475277,,,2019-01-01T11:05:00,21,Graffiti Removal,TSW,2019-01-22T00:00:00,Closed,32.77053082,-117.0695299,9,38,College Area,,Mobile,,Time to remove graffiti and stickers from traffic signal pole,
2475278,,,2019-01-01T11:05:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.80360777,-117.2335861,2,27,Pacific Beach,,Mobile,,Car is blocking driveway and we can't get in or out.,
2475279,,,2019-01-01T11:06:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.75699035,-117.0906866,9,58,Mid-City:Kensington-Talmadge,,Mobile,,"Car is parked halfway in alley, and I?m not able to get into my assigned parking spot on the right hand side.",
2475280,,,2019-01-01T11:06:00,,Other,TSW,,Referred,32.72230341,-117.1254346,3,8,Greater Golden Hill,,Mobile,This report has been referred to Field Engineering at engineering@sandiego.gov,Water Main replacement pipes have been here since the project was completed in this area October. Please remove these pipes.,
2475281,2467590,,2019-01-01T11:06:00,21,Graffiti Removal,TSW,2019-01-22T00:00:00,Closed,32.77168412,-117.0717608,9,38,College Area,,Mobile,,Graffiti on utility box at Lindo Paseo and Campanile Dr,
2475282,,,2019-01-01T11:08:00,8,72 Hour Violation,Parking,2019-01-09T00:00:00,Closed,32.73133,-117.1089,9,56,Mid-City:City Heights,,Web,,This huge van has been parked in the same place for weeks now. I filed a complaint over a week ago but it still not ticketed.,
2475283,,,2019-01-01T11:08:00,0,Other,TSW,2019-01-01T00:00:00,Closed,32.77065316,-117.0702481,9,38,College Area,,Mobile,,All the covers of fire hydrant stolen. Going east on Montezuma before college ave,
2475284,,,2019-01-01T11:08:00,,Graffiti Removal,TSW,,Referred,32.780252,-117.102578,7,20,Navajo,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,Graffiti,
2475285,,,2019-01-01T11:09:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.74895,-117.05315,4,57,Mid-City:Eastern Area,,Mobile,,"Owner continues to park in driveway, even after chasing us down the street. He accused my friend of putting a bag of dog poop on his bumper. Screamed obscenities, gave us the finger, got in her face. They were asked in person to stop.",
2475286,,40300092876,2019-01-01T11:13:00,1,Pothole,TSW,2019-01-02T00:00:00,Closed,32.73663842,-117.1593527,3,1,Balboa Park,,Phone,,"On Quince Dr 50 ft east of 6th Av facing west bound traffic in center lane., large pothole. Contact is Legend Braxton at 619-300-9773",
2475287,2475255,,2019-01-01T11:13:00,80,Traffic Sign - Maintain,TSW,2019-03-22T00:00:00,Closed,32.70841985,-117.1600457,3,4,Downtown,,Mobile,,Traffic sign knocked over on sidewalk 5 th and K northeast corner,
2475288,,,2019-01-01T11:15:00,,Graffiti Removal,TSW,,Referred,32.753693,-117.2479764,2,23,Ocean Beach,,Mobile,This report has been referred to Graffiti ? Cox Communications at ccisan-southconstruction@cox.com,,
2475289,,,2019-01-01T11:17:00,13,72 Hour Violation,Parking,2019-01-14T00:00:00,Closed,32.72880333,-117.12275,3,28,North Park,,Mobile,,Abandoned vehicle 4 or 5 days ago,
2475290,,,2019-01-01T11:18:00,,Graffiti Removal,TSW,,Referred,32.75377175,-117.2488734,2,23,Ocean Beach,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,,
2475291,,,2019-01-01T11:19:00,14,72 Hour Violation,Parking,2019-01-15T00:00:00,Closed,32.71852,-117.16169,3,4,Downtown,,Web,,CORNER OF W.KALMIA ST AND ALBATROSS ST CAR HAS NOT MOVED IN OVER 1 WEEK,
2475292,,,2019-01-01T11:24:00,6,72 Hour Violation,Parking,2019-01-07T00:00:00,Closed,32.75931101,-117.1065045,9,58,Mid-City:Kensington-Talmadge,,Mobile,,Nissan Sentra parked since 12-29-18 with window down and door open. I left town and returned 12-31-18 car still there.  After midnight last night someone opened the car and trunk and rummaged through the whole car and left it open.,
2475294,,,2019-01-01T11:28:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.8463954,-117.2757581,1,10,La Jolla,,Mobile,,,
2475295,,,2019-01-01T11:33:00,,Other,TSW,,Referred,32.929649,-117.110929,5,9,Miramar Ranch North,,Mobile,This report has been referred to Caltrans San Diego at ct.public.information.d11@dot.ca.gov,Over grown shrubs hillside,
2475296,,,2019-01-01T11:34:00,46,Illegal Dumping,ESD Complaint/Report,2019-02-16T00:00:00,Closed,32.718959,-117.056221,4,11,Encanto Neighborhoods,,Mobile,,,
2475297,,,2019-01-01T11:37:00,,Other,TSW,,Referred,32.74577045,-117.2476462,2,23,Ocean Beach,,Mobile,This report has been referred to Police CRO ? Western at sdpdwestern@pd.sandiego.gov,Trash loitering drugs in the open,
2475298,,,2019-01-01T11:44:00,106,Dead Animal,ESD Complaint/Report,2019-04-17T00:00:00,Closed,32.81944741,-117.1961997,6,6,Clairemont Mesa,,Mobile,,Dead raccoon,
2475299,,,2019-01-01T11:48:00,43,Illegal Dumping,ESD Complaint/Report,2019-02-13T00:00:00,Closed,32.747267,-117.2489874,2,23,Ocean Beach,,Mobile,,"Couch on sidewalk - I've been walking passed it for at least a week and a half and it hasn't moved, it had cushions at one point but now just a napping spot for transients.",
2475300,,,2019-01-01T11:48:00,21,72 Hour Violation,Parking,2019-01-22T00:00:00,Closed,32.74572754,-117.0967749,9,56,Mid-City:City Heights,,Mobile,,,
2475301,2475299,,2019-01-01T11:48:00,43,Other,TSW,2019-02-13T00:00:00,Closed,32.747105,-117.2491617,2,23,Ocean Beach,,Mobile,,"Couch on sidewalk - I've been walking passed it for at least a week and a half and it hasn't moved, it had cushions at one point but now just a napping spot for transients.",
2475302,,,2019-01-01T11:54:00,0,Other,TSW,2019-01-01T00:00:00,Closed,32.713038,-117.157285,3,4,Downtown,,Mobile,,Broken backflow water flowing out,
2475303,,,2019-01-01T11:56:00,8,72 Hour Violation,Parking,2019-01-09T00:00:00,Closed,32.74574713,-117.0967552,9,56,Mid-City:City Heights,,Mobile,,,
2475305,,,2019-01-01T12:00:00,,,Storm Water Code Enforcement,,Referred,32.806859,-117.140404,7,35,Serra Mesa,,Mobile,This report has been referred to Water Repair (PUD) at water@sandiego.gov,,
2475306,,,2019-01-01T12:02:00,35,72 Hour Violation,Parking,2019-02-05T00:00:00,Closed,32.76538,-117.12413,3,59,Mid-City:Normal Heights,,Web,,This car has been parked here for over 30 days and hasn't been moved.,
2475307,,,2019-01-01T12:05:00,,Graffiti Removal,TSW,,Referred,32.73230913,-117.0834008,4,57,Mid-City:Eastern Area,OAK NP,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,,
2475308,,40300092893,2019-01-01T12:10:00,14,Palm Frond Cleanup,TSW,2019-01-15T00:00:00,Closed,32.734056,-117.221584,2,30,Peninsula,,Mobile,,Fallen palm fronds,
2475309,2475300,,2019-01-01T12:12:00,6,72 Hour Violation,Parking,2019-01-07T00:00:00,Closed,32.74569702,-117.0967671,9,56,Mid-City:City Heights,,Mobile,,Car had been parked in front of my house since 12/20 it has been leaking fluid onto the street since the.  Car has not moved since it was parked.,
2475310,,,2019-01-01T12:15:00,106,Dead Animal,ESD Complaint/Report,2019-04-17T00:00:00,Closed,32.741674,-117.142698,3,28,North Park,,Mobile,,Dead squirrel.,
2475311,,,2019-01-01T12:17:00,,Other,TSW,,Referred,32.74397255,-117.1163337,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Police CRO ? Mid-City at sdpdmidcity@pd.sandiego.gov,"Increased activity, appears to be drug dealing in canyon at west end of Dwight St. Growing number of people living there",
2475312,,,2019-01-01T12:26:00,7,72 Hour Violation,Parking,2019-01-08T00:00:00,Closed,32.81524969,-117.0099655,7,20,Navajo,,Mobile,,"Parked over 72 hours,",
2475314,,40300092884,2019-01-01T12:28:00,1,Evaluate Tree for Removal/Root Prune,TSW,2019-01-02T00:00:00,Closed,32.80182155,-117.254715,2,27,Pacific Beach,,Phone,,"REPORTED BY PD, CUST STATES 80 FT PALM TREE LEANING DUE TO WIND AND CAN FALL ANY MOMENT, NO CUST NAME BUT PHONE NUMBER 8582455911",
2475315,,,2019-01-01T12:31:00,,Other,Traffic Engineering,,Referred,32.5700848,-117.0882111,8,25,Otay Mesa-Nestor,,Web,This report has been referred to Field Engineering at engineering@sandiego.gov,"Miramar General Engineering worked in our neighborhood in December 2018 replacing handicap curbs and concrete gutters.  The Company needs to pick up construction signs and cone they left behind.  They are located on the corner of ILEX AVE and 1451 Green bay Street, San Diego, 92154.",
2475316,,,2019-01-01T12:33:00,,Tree/Limb Fallen/Hanging,TSW,,Referred,32.73988774,-117.1413282,3,1,Balboa Park,BALBOA PARK,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,Treetop is leaning at big angle. North side of most NW courts.,
2475317,,,2019-01-01T12:33:00,,OTHER,TSW,,Referred,32.69670624,-117.1398897,8,2,Barrio Logan,,Mobile,This report has been referred to Police - Active Homeless Encampments at neighborhoodpolicing@pd.sandiego.gov,,
2475318,,,2019-01-01T12:37:00,,,Storm Water Code Enforcement,,Referred,32.75319935,-117.1141933,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Water Repair (PUD) at water@sandiego.gov,,
2475319,,,2019-01-01T12:38:00,,Other,TSW,,Referred,32.5666287,-117.0845107,8,25,Otay Mesa-Nestor,,Web,This report has been referred to Field Engineering at engineering@sandiego.gov,"Miramar General Engineering worked in our neighborhood in December 2018 replacing handicap curbs and concrete gutters.  The Company needs to pick up the concrete wash-out they left behind.  It is located on 1680 Hollister Street near the intersection of Leon and Hollister, San Diego, 92154.",
2475320,,,2019-01-01T12:40:00,,Other,TSW,,Referred,32.5700668,-117.0847636,8,25,Otay Mesa-Nestor,,Web,This report has been referred to Field Engineering at engineering@sandiego.gov,"Miramar General Engineering worked in our neighborhood in December 2018 replacing handicap curbs and concrete gutters.  The Company needs to clean up the rock debris they left behind in the street they used as their staging area.  They left a sloppy mess and it is unacceptable.  These rocks are potential windshield breakers and ankle twisters.  The location is in the street in front of 2264 ILEX AVE and 2272 ILEX AVE, San Diego 92154",
2475321,,40300092894,2019-01-01T12:41:00,399,Sidewalk Repair Issue,TSW,,In Process,32.7171073,-117.1352798,3,8,Greater Golden Hill,,Web,,"A hazard to the neighborhood, including a disabled person who has a difficult time navigating this street.  The damage is a result of a tree that the city planted several years ago (which may have to be removed to prevent further damage.)",
2475322,2475320,,2019-01-01T12:44:00,399,Other,TSW,,In Process,32.5696614,-117.0843958,8,25,Otay Mesa-Nestor,,Web,,"Miramar General Engineering worked in our neighborhood in December 2018 replacing handicap curbs and concrete gutters.  The Company did a great job replacing the concrete gutter at the intersection of ILEX AVE and Hollister Street, but did an unacceptable job replacing the asphalt that meets the new concrete gutter. The job is substandard and unacceptable.  It is a mini pot-hole that will only get worse.  The asphalt was in better shape before Miramar General Engineering worked at the site. They need to come back and professionally finish the job to a smooth and level completion.",
2475323,2474734,,2019-01-01T12:58:00,1,72 Hour Violation,Parking,2019-01-02T00:00:00,Closed,32.72199416,-117.2443678,2,30,Peninsula,,Mobile,,Junky RV Parker for over 72 hours in a public street and Living in there. Notified you guys and they are still Parked there. This community is not an rv Park. People pay taxes in the community and rvs are just living on the street for free without paying taxes.,
2475324,,,2019-01-01T13:11:00,1,Illegal Dumping,ESD Complaint/Report,2019-01-02T00:00:00,Closed,32.76799834,-117.1397455,7,19,Mission Valley,,Mobile,,Please cancel #02468414. The shopping cart and bags of garbage have been removed.,
2475325,,,2019-01-01T13:12:00,0,72 Hour Violation,Parking,2019-01-01T00:00:00,Closed,32.71265,-117.12628,8,37,Southeastern San Diego,,Web,,"its been parked for about a week, looks like people doing drugs in the back, tire is flat. silver Kia Sorento LX.",
