id,service_request_id,service_request_parent_id,date_requested,case_age_days,service_name,case_record_type,date_updated,status,lat,lng,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description,urgent
27,2475234,,2019-01-01T09:00:00,23,Traffic Signal Timing Issue,TSW,2019-01-24T00:00:00,Closed,32.75737,-117.084,9,58,Mid-City:Kensington-Talmadge,,Mobile,,The light for traffic heading north or south on 52nd is greater than 2 mins. Even when there no traffic moving on El Cajon Blvd.,no
28,2475235,,2019-01-01T09:08:00,106,Dead Animal,ESD Complaint/Report,2019-04-17T00:00:00,Closed,32.76522,-117.204,2,12,Linda Vista,,Mobile,,,no
31,2475238,,2019-01-01T09:11:00,10,72 Hour Violation,Parking,2019-01-11T00:00:00,Closed,32.84851,-117.249,1,10,La Jolla,,Web,,The car has been parked in the same spot for many months.,no
32,2475239,,2019-01-01T09:18:00,183,Street Sweeping,TSW,2019-07-03T00:00:00,Closed,32.70785,-117.135,8,37,Southeastern San Diego,,Phone,,,no
33,2475240,,2019-01-01T09:20:00,15,72 Hour Violation,Parking,2019-01-16T00:00:00,Closed,32.93361,-117.156,6,15,Mira Mesa,,Web,,Utility van has been parked here for more than three weeks and no one has come to move it. Owner is a company called Lara's Tile and Stone. No one in the neighborhood is having their house worked on from what we know. Spider webs have formed under the vehicle. Van has company logo.,no
35,2475242,,2019-01-01T09:24:00,55,Traffic Sign - Maintain,TSW,2019-02-25T00:00:00,Closed,32.82343,-117.274,1,10,La Jolla,,Mobile,,,no
37,2475244,,2019-01-01T09:28:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.72305,-117.129,3,8,Greater Golden Hill,,Mobile,,15 minute zone violation,no
38,2475246,,2019-01-01T09:38:00,58,72 Hour Violation,Parking,2019-02-28T00:00:00,Closed,32.94375,-117.084,5,5,Sabre Springs,,Mobile,,Car stored on street,no
40,2475248,,2019-01-01T09:44:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.74405,-117.188,2,14,Midway-Pacific Highway,,Mobile,,,no
41,2475249,2466031,2019-01-01T09:45:00,22,Graffiti Removal,TSW,2019-01-23T00:00:00,Closed,32.7131,-117.063,4,11,Encanto Neighborhoods,,Mobile,,,no
42,2475250,,2019-01-01T09:50:00,6,Missed Collection,ESD Complaint/Report,2019-01-07T00:00:00,Closed,32.72004,-117.129,3,8,Greater Golden Hill,,Mobile,,Trash can is constantly overflowing and rarely emptied.,no
44,2475252,,2019-01-01T09:59:00,,Dead Animal,ESD Complaint/Report,,Referred,32.72181,-117.102,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Caltrans San Diego at ct.public.information.d11@dot.ca.gov,Big dog with internal parts spread in the HOV lane. Poor thing,no
47,2475256,,2019-01-01T10:23:00,37,72 Hour Violation,Parking,2019-02-07T00:00:00,Closed,32.71209,-117.146,8,37,Southeastern San Diego,,Mobile,,,no
51,2475260,,2019-01-01T10:36:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.7373,-117.25,2,23,Ocean Beach,,Mobile,,,no
52,2475261,2475016,2019-01-01T10:36:00,1,72 Hour Violation,Parking,2019-01-02T00:00:00,Closed,32.83191,-117.188,6,6,Clairemont Mesa,,Web,,The car has been parked in same spot for well over 3 weeks. Is also covered.,no
55,2475264,,2019-01-01T10:38:00,2,Sidewalk Repair Issue,Traffic Engineering,2019-01-03T00:00:00,Closed,32.8353,-117.277,1,10,La Jolla,,Mobile,This report has been referred to Field Engineering at engineering@sandiego.gov,Abandoned,no
57,2475266,2471095,2019-01-01T10:39:00,65,Container Left Out,ESD Complaint/Report,2019-03-07T00:00:00,Closed,32.74522,-117.105,9,56,Mid-City:City Heights,,Mobile,,,no
58,2475267,2474366,2019-01-01T10:42:00,0,72 Hour Violation,Parking,2019-01-01T00:00:00,Closed,32.74385,-117.128,3,28,North Park,,Mobile,,"Parked for over 72 hours, stolen Discover & Ofo bikes in front of car, 2 men living in car, missing back license plates, trash everywhere",no
59,2475269,,2019-01-01T10:51:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.75028,-117.146,3,28,North Park,,Mobile,,This vw parks in this red zone constantly. Please ticket,no
61,2475271,,2019-01-01T10:55:00,21,72 Hour Violation,Parking,2019-01-22T00:00:00,Closed,32.74228,-117.109,9,56,Mid-City:City Heights,,Web,,Over 72 hours parked,no
62,2475272,,2019-01-01T11:01:00,14,Container Left Out,ESD Complaint/Report,2019-01-15T00:00:00,Closed,32.7687,-117.068,9,38,College Area,,Mobile,,Student rentals NEVER return containers after collection. They leave them out on the curb all week long,no
63,2475273,,2019-01-01T11:01:00,14,Container Left Out,ESD Complaint/Report,2019-01-15T00:00:00,Closed,32.76951,-117.069,9,38,College Area,,Mobile,,Student rentals NEVER return containers after collection. They leave them out on the curb all week long,no
64,2475274,,2019-01-01T11:02:00,21,Graffiti Removal,TSW,2019-01-22T00:00:00,Closed,32.76941,-117.069,9,38,College Area,,Mobile,,Graffiti painted on the sidewalk at this address,no
65,2475275,,2019-01-01T11:03:00,38,Engineering - Curb Evaluation,Traffic Engineering,2019-02-08T00:00:00,Closed,32.82427,-117.095,7,47,Tierrasanta,,Mobile,,Need handicap parking on street,no
66,2475276,,2019-01-01T11:04:00,1,Pothole,TSW,2019-01-02T00:00:00,Closed,32.76905,-117.069,9,38,College Area,,Mobile,,College Ave was never properly fixed by contractors construction of building. Left the condition of the street in bad shape with cracks and potholes,no
67,2475277,,2019-01-01T11:05:00,21,Graffiti Removal,TSW,2019-01-22T00:00:00,Closed,32.77053,-117.07,9,38,College Area,,Mobile,,Time to remove graffiti and stickers from traffic signal pole,no
68,2475278,,2019-01-01T11:05:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.80361,-117.234,2,27,Pacific Beach,,Mobile,,Car is blocking driveway and we can't get in or out.,no
69,2475279,,2019-01-01T11:06:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.75699,-117.091,9,58,Mid-City:Kensington-Talmadge,,Mobile,,"Car is parked halfway in alley, and I?m not able to get into my assigned parking spot on the right hand side.",no
71,2475281,2467590,2019-01-01T11:06:00,21,Graffiti Removal,TSW,2019-01-22T00:00:00,Closed,32.77168,-117.072,9,38,College Area,,Mobile,,Graffiti on utility box at Lindo Paseo and Campanile Dr,no
72,2475282,,2019-01-01T11:08:00,8,72 Hour Violation,Parking,2019-01-09T00:00:00,Closed,32.73133,-117.109,9,56,Mid-City:City Heights,,Web,,This huge van has been parked in the same place for weeks now. I filed a complaint over a week ago but it still not ticketed.,no
74,2475284,,2019-01-01T11:08:00,,Graffiti Removal,TSW,,Referred,32.78025,-117.103,7,20,Navajo,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,Graffiti,no
78,2475288,,2019-01-01T11:15:00,,Graffiti Removal,TSW,,Referred,32.75369,-117.248,2,23,Ocean Beach,,Mobile,This report has been referred to Graffiti ? Cox Communications at ccisan-southconstruction@cox.com,,no
79,2475289,,2019-01-01T11:17:00,13,72 Hour Violation,Parking,2019-01-14T00:00:00,Closed,32.7288,-117.123,3,28,North Park,,Mobile,,Abandoned vehicle 4 or 5 days ago,no
80,2475290,,2019-01-01T11:18:00,,Graffiti Removal,TSW,,Referred,32.75377,-117.249,2,23,Ocean Beach,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,,no
81,2475291,,2019-01-01T11:19:00,14,72 Hour Violation,Parking,2019-01-15T00:00:00,Closed,32.71852,-117.162,3,4,Downtown,,Web,,CORNER OF W.KALMIA ST AND ALBATROSS ST CAR HAS NOT MOVED IN OVER 1 WEEK,no
82,2475292,,2019-01-01T11:24:00,6,72 Hour Violation,Parking,2019-01-07T00:00:00,Closed,32.75931,-117.107,9,58,Mid-City:Kensington-Talmadge,,Mobile,,Nissan Sentra parked since 12-29-18 with window down and door open. I left town and returned 12-31-18 car still there. After midnight last night someone opened the car and trunk and rummaged through the whole car and left it open.,no
83,2475294,,2019-01-01T11:28:00,0,Parking Zone Violation,Parking,2019-01-01T00:00:00,Closed,32.8464,-117.276,1,10,La Jolla,,Mobile,,,no
84,2475295,,2019-01-01T11:33:00,,Other,TSW,,Referred,32.92965,-117.111,5,9,Miramar Ranch North,,Mobile,This report has been referred to Caltrans San Diego at ct.public.information.d11@dot.ca.gov,Over grown shrubs hillside,no
85,2475296,,2019-01-01T11:34:00,46,Illegal Dumping,ESD Complaint/Report,2019-02-16T00:00:00,Closed,32.71896,-117.056,4,11,Encanto Neighborhoods,,Mobile,,,no
89,2475300,,2019-01-01T11:48:00,21,72 Hour Violation,Parking,2019-01-22T00:00:00,Closed,32.74573,-117.097,9,56,Mid-City:City Heights,,Mobile,,,no
92,2475303,,2019-01-01T11:56:00,8,72 Hour Violation,Parking,2019-01-09T00:00:00,Closed,32.74575,-117.097,9,56,Mid-City:City Heights,,Mobile,,,no
93,2475305,,2019-01-01T12:00:00,,,Storm Water Code Enforcement,,Referred,32.80686,-117.14,7,35,Serra Mesa,,Mobile,This report has been referred to Water Repair (PUD) at water@sandiego.gov,,no
94,2475306,,2019-01-01T12:02:00,35,72 Hour Violation,Parking,2019-02-05T00:00:00,Closed,32.76538,-117.124,3,59,Mid-City:Normal Heights,,Web,,This car has been parked here for over 30 days and hasn't been moved.,no
95,2475307,,2019-01-01T12:05:00,,Graffiti Removal,TSW,,Referred,32.73231,-117.083,4,57,Mid-City:Eastern Area,OAK NP,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,,no
96,2475308,,2019-01-01T12:10:00,14,Palm Frond Cleanup,TSW,2019-01-15T00:00:00,Closed,32.73406,-117.222,2,30,Peninsula,,Mobile,,Fallen palm fronds,no
100,2475312,,2019-01-01T12:26:00,7,72 Hour Violation,Parking,2019-01-08T00:00:00,Closed,32.81525,-117.01,7,20,Navajo,,Mobile,,"Parked over 72 hours,",no
102,2475315,,2019-01-01T12:31:00,,Other,Traffic Engineering,,Referred,32.57008,-117.088,8,25,Otay Mesa-Nestor,,Web,This report has been referred to Field Engineering at engineering@sandiego.gov,"Miramar General Engineering worked in our neighborhood in December 2018 replacing handicap curbs and concrete gutters. The Company needs to pick up construction signs and cone they left behind. They are located on the corner of ILEX AVE and 1451 Green bay Street, San Diego, 92154.",no
105,2475318,,2019-01-01T12:37:00,,,Storm Water Code Enforcement,,Referred,32.7532,-117.114,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Water Repair (PUD) at water@sandiego.gov,,no
106,2475319,,2019-01-01T12:38:00,,Other,TSW,,Referred,32.56663,-117.085,8,25,Otay Mesa-Nestor,,Web,This report has been referred to Field Engineering at engineering@sandiego.gov,"Miramar General Engineering worked in our neighborhood in December 2018 replacing handicap curbs and concrete gutters. The Company needs to pick up the concrete wash-out they left behind. It is located on 1680 Hollister Street near the intersection of Leon and Hollister, San Diego, 92154.",no
107,2475320,,2019-01-01T12:40:00,,Other,TSW,,Referred,32.57007,-117.085,8,25,Otay Mesa-Nestor,,Web,This report has been referred to Field Engineering at engineering@sandiego.gov,"Miramar General Engineering worked in our neighborhood in December 2018 replacing handicap curbs and concrete gutters. The Company needs to clean up the rock debris they left behind in the street they used as their staging area. They left a sloppy mess and it is unacceptable. These rocks are potential windshield breakers and ankle twisters. The location is in the street in front of 2264 ILEX AVE and 2272 ILEX AVE, San Diego 92154",no
111,2475324,,2019-01-01T13:11:00,1,Illegal Dumping,ESD Complaint/Report,2019-01-02T00:00:00,Closed,32.768,-117.14,7,19,Mission Valley,,Mobile,,Please cancel #02468414. The shopping cart and bags of garbage have been removed.,no
113,2475326,,2019-01-01T13:12:00,86,Illegal Dumping,ESD Complaint/Report,2019-03-28T00:00:00,Closed,32.69372,-117.126,8,2,Barrio Logan,,Mobile,,Left unwanted car parts & flatscreen TV parts,no
114,2475327,,2019-01-01T13:15:00,,Other,TSW,,Referred,32.80438,-117.011,7,20,Navajo,,Mobile,This report has been referred to Police CRO ? Eastern at sdpdeastern@pd.sandiego.gov,Abandoned vehicle,no
115,2475328,,2019-01-01T13:15:00,6,Traffic Sign - Maintain,TSW,2019-01-07T00:00:00,Closed,32.81481,-117.164,6,6,Clairemont Mesa,,Phone,,PER PD STOP SIGN AT CORNER OF BATISTA & ARMSTRONG GOING N/B ARMSTRONG STOP SIGN AND POLE FELL IN BETWEEN STREET AND CURB,no
116,2475329,,2019-01-01T13:18:00,,Other,TSW,,Referred,32.80632,-117.015,7,20,Navajo,,Mobile,This report has been referred to Police CRO ? Eastern at sdpdeastern@pd.sandiego.gov,There is an abandoned car. Grey Honda civic with the back end smashed in.,no
119,2475332,,2019-01-01T13:28:00,114,Illegal Dumping,ESD Complaint/Report,2019-04-25T00:00:00,Closed,32.80272,-117.251,2,27,Pacific Beach,,Web,,Someone stacked large palm fronds in the alley. They are too big for the trash containers and too heavy to lift.,no
120,2475333,,2019-01-01T13:29:00,27,Graffiti Removal,TSW,2019-01-28T00:00:00,Closed,32.7556,-117.139,3,28,North Park,,Web,,,no
122,2475335,,2019-01-01T13:32:00,6,Graffiti Removal,TSW,2019-01-07T00:00:00,Closed,32.75498,-117.142,3,28,North Park,,Web,,,no
123,2475336,,2019-01-01T13:32:00,16,72 Hour Violation,Parking,2019-01-17T00:00:00,Closed,32.57456,-117.045,8,25,Otay Mesa-Nestor,,Web,,Car has been parked for over a week. Car has front bumper tied with rope through car hood to hold it up. Front window is cracked really badly!,no
125,2475338,,2019-01-01T13:36:00,78,Dead Animal,ESD Complaint/Report,2019-03-20T00:00:00,Closed,32.73672,-117.079,4,57,Mid-City:Eastern Area,,Mobile,,Dead skunk,no
127,2475340,,2019-01-01T13:40:00,230,Guardrails/Barrier Metal/Wooden,TSW,2019-08-19T00:00:00,Closed,32.80851,-117.266,1,10,La Jolla,,Mobile,,Rotted wood fence fell or pulled out,no
129,2475342,,2019-01-01T13:46:00,1,Missed Collection,ESD Complaint/Report,2019-01-02T00:00:00,Closed,32.80468,-117.26,2,27,Pacific Beach,,Web,,"Container was out the night before, rest of street was collected, our's was missed.",no
130,2475343,,2019-01-01T13:56:00,1,Parking Zone Violation,Parking,2019-01-02T00:00:00,Closed,32.92833,-117.14,6,15,Mira Mesa,,Mobile,,Parking on sidewalk,no
131,2475344,,2019-01-01T13:57:00,62,Illegal Dumping,ESD Complaint/Report,2019-03-04T00:00:00,Closed,32.79977,-117.234,2,27,Pacific Beach,,Mobile,,Alley between Balboa and Hornblend. Illegal dumping of stolen property. Bikes are being reassembled to deter being caught with stolen property.,no
132,2475345,2469515,2019-01-01T13:59:00,1,72 Hour Violation,Parking,2019-01-02T00:00:00,Closed,32.75104,-117.246,2,23,Ocean Beach,,Web,,"This is the 3rd complaint I have filed about this vehicle: 1) 02462255 - 12/10/2018 7:00 PM ? Closed2) 02469515 - 12/20/2018 6:23 PM ? New Today is January 1, 2019, and it has been over 3 weeks since my first complaint. No warning or ticket has been issued against this vehicle thus far. This vehicle has been ABANDONED and/or is INOPERABLE and must be removed immediately! Please take action today!",no
133,2475346,,2019-01-01T13:59:00,66,Illegal Dumping from Vehicle,ESD Complaint/Report,2019-03-08T00:00:00,Closed,32.57924,-117.102,8,25,Otay Mesa-Nestor,,Web,,"Fat tire on the trailer. Trash all around, in the street, on the sidewalk. Lots of junk and a mattress.",no
134,2475347,,2019-01-01T14:00:00,3,Pothole,TSW,2019-01-04T00:00:00,Closed,32.819,-117.183,6,6,Clairemont Mesa,,Mobile,,18 sq inches,no
136,2475349,,2019-01-01T14:01:00,2,Graffiti Removal,TSW,2019-01-03T00:00:00,Closed,32.82855,-117.193,6,6,Clairemont Mesa,,Phone,,,no
137,2475350,,2019-01-01T14:02:00,1,72 Hour Violation,Parking,2019-01-02T00:00:00,Closed,32.74634,-117.254,2,23,Ocean Beach,,Mobile,,Vehicle has been parked here for 3 months. Hasn't moved. There are cob webs growing around the wheels.,no
139,2475352,,2019-01-01T14:11:00,10,72 Hour Violation,Parking,2019-01-11T00:00:00,Closed,32.88696,-117.178,6,15,Mira Mesa,,Web,,It appears to be a broken down abandoned trailer,no
141,2475354,,2019-01-01T14:16:00,1,Tree Stump Grinding - Contract,TSW,2019-01-02T00:00:00,Closed,32.80539,-117.126,7,35,Serra Mesa,,Web,,,no
142,2475355,,2019-01-01T14:21:00,1,Parking Zone Violation,Parking,2019-01-02T00:00:00,Closed,32.70718,-117.032,4,44,Skyline-Paradise Hills,,Mobile,,"This mangled car has been sitting on THE SIDE OF THE ROAD for a freaking WEEK! Like what the heck, how has the city not done anything yet. This is a busy and well-traveled road, and I see SDPD driving up and down it all the time, so I know they've seen this wrecked car here already. This is a hazard to motorists and pedestrians, it's blocking the sidewalk and there's busted glass and car debris all over the road. I know I don't pay taxes for this to take this long to get cleaned up! This is a hazard!",no
143,2475356,,2019-01-01T14:24:00,22,Graffiti Removal,TSW,2019-01-23T00:00:00,Closed,32.73018,-117.128,3,28,North Park,,Mobile,,,no
145,2475358,2427618,2019-01-01T14:26:00,23,Illegal Dumping,ESD Complaint/Report,2019-01-24T00:00:00,Closed,32.72997,-117.129,3,28,North Park,,Mobile,,In ally way between 30th and 31st street south of Kalmia and north of juniper,no
146,2475359,,2019-01-01T14:28:00,1,Pothole,TSW,2019-01-02T00:00:00,Closed,32.79409,-117.163,7,12,Linda Vista,,Web,,Pothole on southbound Linda Vista Rd.,no
147,2475360,,2019-01-01T14:31:00,1,Pothole,TSW,2019-01-02T00:00:00,Closed,32.77845,-117.067,9,38,College Area,,Web,,Pothole on northbound College Avenue.,no
148,2475361,,2019-01-01T14:32:00,2,72 Hour Violation,Parking,2019-01-03T00:00:00,Closed,32.68141,-117.046,4,44,Skyline-Paradise Hills,,Web,,Car parks mysteriously early in the morning and then is abandoned for days at a time. This has been the fifth day since it has parked and has not moved once.,no
149,2475362,,2019-01-01T14:32:00,0,Oversized Vehicle Complaints,Parking,2019-01-01T00:00:00,Closed,32.93261,-117.14,6,15,Mira Mesa,,Web,,"This vehicle has been parked along the curb on the street in front of my house since at least June 6, 2018. It has not moved an inch since then. The vehicle has to be at least 30 years old and is an eyesore that I don't need in front of my house. It takes up parking space that I need for gardeners, tree trimmers, pest controllers, carpet cleaners and others that perform services at my home. And, of course, it impacts my property value. It is also starting to attract gang graffiti. The vehicle belongs to a boarder of my next door neighbor. I have asked him about moving the vehicle, but he complains that the engine isn't running correctly and he needs parts to fix it. He promised that he would have the money to fix the engine within two weeks after he collected the money from a customer. That was at least two months ago. Please do not let him know that I have filed this complaint as he lives next door to me and I don't want any trouble with him. Photos showing the graffiti won't upload, size limits",no
150,2475363,,2019-01-01T14:34:00,,Other,Traffic Engineering,,Referred,32.7871,-117.164,7,12,Linda Vista,,Mobile,This report has been referred to Private Contractor at trash@sandiego.gov,Lime scooter abandoned here. It has been here 16 days. I've reported to Lime support several times. They say they'll send someone to get it but it's still here after 2 weeks.,no
152,2475365,,2019-01-01T14:37:00,17,72 Hour Violation,Parking,2019-01-18T00:00:00,Closed,32.80201,-117.235,2,27,Pacific Beach,,Web,,"This car has been parked in front of my house for 2 weeks. Four cars can usually fit in that space, but because that car is slightly forward, it's throwing the parking out of whack. Furthermore, it's parked on a Wednesday side of the street, so it had better get a ticket tomorrow if it's not towed. Send Officer Brown.",no
153,2475366,,2019-01-01T14:38:00,43,Traffic Sign - Maintain,TSW,2019-02-13T00:00:00,Closed,32.77111,-117.162,7,12,Linda Vista,,Phone,,,no
155,2475368,,2019-01-01T14:42:00,1,Missed Collection,ESD Complaint/Report,2019-01-02T00:00:00,Closed,32.76364,-117.117,3,59,Mid-City:Normal Heights,,Mobile,,Trash cans were not picked up at the end of last week. Still out there.,no
157,2475370,,2019-01-01T14:46:00,9,72 Hour Violation,Parking,2019-01-10T00:00:00,Closed,32.75073,-117.055,4,57,Mid-City:Eastern Area,,Mobile,,Car not working amd they just park them out in the street like a car lot,no
158,2475371,,2019-01-01T14:48:00,2,Graffiti Removal,TSW,2019-01-03T00:00:00,Closed,32.75583,-117.092,9,56,Mid-City:City Heights,,Mobile,,,no
159,2475372,,2019-01-01T14:48:00,22,Graffiti Removal,TSW,2019-01-23T00:00:00,Closed,32.75404,-117.091,9,56,Mid-City:City Heights,,Mobile,,Back wall in alley,no
160,2475373,,2019-01-01T14:49:00,16,72 Hour Violation,Parking,2019-01-17T00:00:00,Closed,32.69895,-117.079,4,11,Encanto Neighborhoods,,Mobile,,,no
161,2475374,,2019-01-01T14:56:00,399,Tree Trimming Contract,TSW,,In Process,32.69912,-117.079,4,11,Encanto Neighborhoods,,Mobile,,"Palms seeds every day felt . Make all disturbing of my driveway , concrete, because grow. Also start growing in my property and make my grass died . No body clean it , I need to do . Sometimes big peace of palm come down and I am scare about it , because I have 3 years old little daughter, and it's also can fall to my cars and make it to be damaged. I want actually ask to cut does two PALM , because I can't do this, its property of city. Want you guys help me with that , I am tired for 4 years living here see all this and survive with this. Thank you.",no
162,2475375,2463181,2019-01-01T14:59:00,3,Container Left Out,ESD Complaint/Report,2019-01-04T00:00:00,Closed,32.74665,-117.089,9,56,Mid-City:City Heights,,Mobile,,Trash cans are left outsude,no
163,2475376,,2019-01-01T15:02:00,399,Parking Zone Violation,Parking,,New,32.55824,-117.053,8,33,San Ysidro,,Web,,vehicle has been parked on my parking space since december 20 2018 currently over 11 days. The vehicle has already accumulated a lot of dust and is blocking my access to the drive way . This is a common problem in this area since people leave their cars and go to mexico. this car in particular has been doing the same thing for months now and is constantly violating the 72 hour rule. (the images i uploaded reflect that the vehicle has not moved in almost two weeks.,no
164,2475377,2463180,2019-01-01T15:03:00,386,Remove/Spray Weeds,TSW,2020-01-22T00:00:00,Closed,32.74618,-117.089,9,56,Mid-City:City Heights,,Mobile,,Trees don't get trim. They comer 90% of the sidewalk,no
165,2475378,,2019-01-01T15:03:00,52,Graffiti Removal,TSW,2019-02-22T00:00:00,Closed,32.79723,-117.252,2,27,Pacific Beach,,Mobile,,,no
167,2475380,,2019-01-01T15:05:00,23,Traffic Signal On Flash,TSW,2019-01-24T00:00:00,Closed,32.68151,-117.042,4,44,Skyline-Paradise Hills,,Phone,,PER PD ALL LIGHTS ON FLASH AT S WOODMAN AND RAMFOS,no
168,2475381,,2019-01-01T15:09:00,1,Pothole,TSW,2019-01-02T00:00:00,Closed,32.83145,-117.187,6,6,Clairemont Mesa,,Web,,"A hole is forming in the asphalt in the center of the street, in front of this home, on the slope. Thank you kindly for attending to this matter before it becomes worse.",no
170,2475383,,2019-01-01T15:10:00,2,Graffiti Removal,TSW,2019-01-03T00:00:00,Closed,32.75565,-117.092,9,56,Mid-City:City Heights,,Mobile,,,no
171,2475384,,2019-01-01T15:11:00,10,Graffiti Removal,TSW,2019-01-11T00:00:00,Closed,32.74969,-117.092,9,56,Mid-City:City Heights,,Mobile,,,no
172,2475385,,2019-01-01T15:15:00,,Other,TSW,,Referred,32.77928,-117.149,7,19,Mission Valley,,Mobile,This report has been referred to Police CRO ? Eastern at sdpdeastern@pd.sandiego.gov,Purple Lamborghini racing up and down Via Alta. Pulled into aspect drive complex. No license plates just dealer plates.,no
174,2475387,,2019-01-01T15:18:00,388,Street Sweeping,TSW,2020-01-24T00:00:00,Closed,32.77744,-117.196,2,6,Clairemont Mesa,,Phone,,,no
175,2475388,,2019-01-01T15:23:00,2,Missed Collection,ESD Complaint/Report,2019-01-03T00:00:00,Closed,32.84561,-117.27,1,10,La Jolla,,Mobile,,Recycle bin not emptied yesterday I've left it out so please come and empty it. Thanks,no
